clave,affiliations,intl_afil,authors,docs,book,chapter,conference,journal,q1q2,cites_3y,q3q4
1-2007,10,0,22,1,0,0,0,4,4,2,0
1-2008,11,2,23,2,0,0,0,5,2,2,3
1-2009,6,1,14,1,0,0,0,2,1,2,1
1-2010,32,18,59,6,0,0,0,8,6,6,2
1-2011,3,0,5,0,0,0,0,1,1,0,0
1-2012,7,3,20,0,0,0,0,3,3,0,0
1-2013,9,2,23,1,0,0,0,3,2,1,1
1-2014,6,0,12,0,0,0,0,2,1,0,1
2-2007,4,0,8,0,0,0,0,2,2,0,0
2-2008,14,0,21,1,0,1,3,2,2,2,0
2-2009,15,1,25,3,0,1,3,2,3,3,0
2-2010,14,0,22,0,0,0,3,2,1,0,1
2-2011,7,0,9,0,0,0,1,1,1,0,0
2-2012,19,0,33,1,1,0,0,6,4,3,2
2-2013,7,0,13,2,0,0,0,3,2,4,1
2-2014,13,0,23,1,0,0,0,5,3,1,2
3-2007,10,7,21,2,0,0,0,3,3,2,0
3-2008,8,2,14,1,0,0,0,3,3,3,0
3-2009,24,19,31,2,0,0,1,2,2,2,0
3-2010,8,3,18,3,0,0,0,3,2,3,1
3-2011,4,2,9,1,0,0,0,1,1,5,0
3-2012,13,4,38,3,0,0,0,6,5,4,1
3-2013,23,1,45,3,0,0,1,7,7,8,0
3-2014,8,3,13,1,0,0,0,2,1,4,1
4-2007,0,0,0,0,0,0,0,0,0,0,0
4-2008,19,5,31,3,0,0,2,3,3,6,0
4-2009,4,0,6,1,0,0,0,1,0,2,1
4-2010,9,0,18,2,0,0,1,2,2,2,0
4-2011,13,2,18,1,0,2,0,2,1,1,1
4-2012,9,0,13,1,0,0,0,2,1,2,1
4-2013,5,1,10,1,0,0,0,2,2,3,0
4-2014,0,0,0,0,0,0,0,0,0,0,0
5-2007,1,0,5,0,0,0,1,0,0,0,0
5-2008,11,1,24,1,0,0,0,4,3,2,1
5-2009,0,0,0,0,0,0,0,0,0,0,0
5-2010,8,2,16,1,0,0,0,3,2,2,1
5-2011,1,0,5,0,0,0,0,1,1,0,0
5-2012,0,0,0,0,0,0,0,0,0,0,0
5-2013,4,0,7,0,0,0,0,1,1,0,0
5-2014,0,0,0,0,0,0,0,0,0,0,0
6-2007,9,1,18,3,0,0,4,3,3,5,0
6-2008,21,4,30,5,0,0,5,4,1,8,3
6-2009,17,7,20,4,0,1,4,3,3,3,0
6-2010,11,4,20,4,0,0,4,2,1,5,1
6-2011,8,3,11,1,0,0,3,1,1,2,0
6-2012,1,0,3,0,0,0,0,1,1,0,0
6-2013,1,0,2,0,0,0,0,1,0,0,1
6-2014,3,0,4,0,0,0,2,0,0,0,0
7-2007,6,1,20,2,0,0,0,3,3,2,0
7-2008,25,2,82,5,0,0,0,14,4,6,10
7-2009,14,0,43,6,0,0,0,7,7,7,0
7-2010,30,0,82,5,0,1,5,7,7,9,0
7-2011,19,0,51,1,0,2,0,5,5,2,0
7-2012,46,3,118,2,0,0,0,23,8,3,15
7-2013,6,4,16,1,0,0,0,2,2,1,0
7-2014,39,2,102,1,0,2,2,15,3,1,12
8-2007,0,0,0,0,0,0,0,0,0,0,0
8-2008,1,0,4,0,0,0,0,1,1,0,0
8-2009,2,0,4,0,0,0,0,1,1,0,0
8-2010,0,0,0,0,0,0,0,0,0,0,0
8-2011,8,1,18,1,0,0,0,3,2,1,1
8-2012,8,0,17,2,0,0,0,3,1,2,2
8-2013,3,0,6,0,0,0,1,1,1,0,0
8-2014,2,0,3,1,0,0,1,0,0,1,0
9-2007,3,0,4,0,0,0,0,1,1,0,0
9-2008,0,0,0,0,0,0,0,0,0,0,0
9-2009,1,0,5,0,0,0,0,1,1,0,0
9-2010,1,0,3,0,0,0,1,0,0,0,0
9-2011,9,0,17,3,0,0,0,4,4,9,0
9-2012,12,0,26,3,0,0,0,6,5,14,1
9-2013,14,1,33,4,0,0,1,6,5,7,1
9-2014,13,3,29,0,0,1,0,4,3,0,1
10-2007,0,0,0,0,0,0,0,0,0,0,0
10-2008,0,0,0,0,0,0,0,0,0,0,0
10-2009,2,0,6,0,0,0,0,1,1,0,0
10-2010,0,0,0,0,0,0,0,0,0,0,0
10-2011,5,0,11,0,0,0,0,2,2,0,0
10-2012,5,0,11,0,0,0,0,2,2,0,0
10-2013,0,0,0,0,0,0,0,0,0,0,0
10-2014,0,0,0,0,0,0,0,0,0,0,0
11-2007,2,0,6,1,0,0,0,1,0,1,1
11-2008,14,0,29,1,0,0,0,5,5,2,0
11-2009,11,0,31,0,0,0,0,4,3,0,1
11-2010,13,2,23,2,0,0,0,3,3,1,0
11-2011,8,2,14,1,0,0,0,2,1,3,1
11-2012,3,1,7,0,0,0,0,1,0,0,1
11-2013,0,0,0,0,0,0,0,0,0,0,0
11-2014,16,0,37,4,0,0,0,5,4,8,1
12-2007,2,0,6,0,0,0,0,1,1,0,0
12-2008,0,0,0,0,0,0,0,0,0,0,0
12-2009,2,0,6,0,0,0,0,1,0,0,1
12-2010,0,0,0,0,0,0,0,0,0,0,0
12-2011,0,0,0,0,0,0,0,0,0,0,0
12-2012,0,0,0,0,0,0,0,0,0,0,0
12-2013,0,0,0,0,0,0,0,0,0,0,0
12-2014,6,1,9,1,0,0,0,1,0,1,1
13-2007,0,0,0,0,0,0,0,0,0,0,0
13-2008,7,0,29,4,0,0,0,5,5,7,0
13-2009,4,0,9,1,0,0,0,2,2,2,0
13-2010,5,0,11,0,0,0,0,2,2,0,0
13-2011,2,0,5,0,0,0,0,1,1,0,0
13-2012,2,0,5,1,0,0,0,1,1,4,0
13-2013,0,0,0,0,0,0,0,0,0,0,0
13-2014,8,0,15,1,0,0,0,3,3,1,0
14-2007,3,1,7,1,0,0,0,1,1,1,0
14-2008,12,5,38,4,0,0,0,6,6,7,0
14-2009,5,2,15,2,0,0,0,3,2,5,1
14-2010,9,3,27,3,0,0,1,5,5,2,0
14-2011,0,0,0,0,0,0,0,0,0,0,0
14-2012,5,2,13,1,0,0,0,3,2,2,1
14-2013,5,1,15,2,0,0,1,2,2,1,0
14-2014,2,1,8,1,0,0,0,1,1,3,0
15-2007,7,0,20,4,0,2,1,3,0,9,3
15-2008,5,1,14,3,0,0,0,3,2,6,1
15-2009,14,1,27,2,0,4,0,2,2,4,0
15-2010,3,0,14,1,0,1,1,1,0,2,1
15-2011,4,0,19,3,0,0,0,4,1,8,3
15-2012,9,1,25,4,0,0,2,4,0,11,4
15-2013,13,1,24,6,0,0,0,7,3,11,4
15-2014,1,0,7,0,0,0,1,0,0,0,0
16-2007,4,0,6,0,0,0,0,2,2,0,0
16-2008,2,0,6,0,0,0,1,1,1,0,0
16-2009,7,4,10,1,0,0,1,1,1,1,0
16-2010,0,0,0,0,0,0,0,0,0,0,0
16-2011,3,0,3,0,0,0,0,2,2,0,0
16-2012,10,6,17,3,0,0,1,3,3,3,0
16-2013,3,1,8,2,0,0,0,2,2,5,0
16-2014,1,0,2,1,0,0,0,1,1,3,0
17-2007,0,0,0,0,0,0,0,0,0,0,0
17-2008,0,0,0,0,0,0,0,0,0,0,0
17-2009,0,0,0,0,0,0,0,0,0,0,0
17-2010,0,0,0,0,0,0,0,0,0,0,0
17-2011,0,0,0,0,0,0,0,0,0,0,0
17-2012,0,0,0,0,0,0,0,0,0,0,0
17-2013,0,0,0,0,0,0,0,0,0,0,0
17-2014,6,0,22,2,0,0,0,3,0,4,3
18-2007,5,0,12,0,0,0,0,2,2,0,0
18-2008,0,0,0,0,0,0,0,0,0,0,0
18-2009,2,0,16,0,0,0,1,0,0,0,0
18-2010,0,0,0,0,0,0,0,0,0,0,0
18-2011,0,0,0,0,0,0,0,0,0,0,0
18-2012,3,0,30,0,0,0,1,1,1,0,0
18-2013,0,0,0,0,0,0,0,0,0,0,0
18-2014,3,0,7,1,0,0,0,1,1,2,0
19-2007,0,0,0,0,0,0,0,0,0,0,0
19-2008,14,2,25,0,0,1,1,4,3,0,1
19-2009,7,3,13,0,0,1,1,2,2,0,0
19-2010,3,2,5,0,0,0,1,0,0,0,0
19-2011,5,2,14,0,0,0,2,0,0,0,0
19-2012,1,0,3,0,0,0,0,1,1,0,0
19-2013,26,4,49,3,1,0,4,8,4,4,4
19-2014,3,0,6,1,0,1,0,1,1,2,0
21-2007,3,0,3,2,0,0,0,3,3,2,0
21-2008,3,1,4,1,0,0,1,1,1,1,0
21-2009,0,0,0,0,0,0,0,0,0,0,0
21-2010,2,0,4,2,0,0,1,1,1,5,0
21-2011,3,0,6,3,0,0,0,3,3,8,0
21-2012,4,1,6,2,0,0,2,1,1,6,0
21-2013,6,2,7,4,0,0,0,4,4,6,0
21-2014,3,0,7,0,0,0,1,1,1,0,0
22-2007,0,0,0,0,0,0,0,0,0,0,0
22-2008,2,1,6,0,0,0,0,1,0,0,1
22-2009,0,0,0,0,0,0,0,0,0,0,0
22-2010,0,0,0,0,0,0,0,0,0,0,0
22-2011,0,0,0,0,0,0,0,0,0,0,0
22-2012,0,0,0,0,0,0,0,0,0,0,0
22-2013,0,0,0,0,0,0,0,0,0,0,0
22-2014,0,0,0,0,0,0,0,0,0,0,0
23-2007,2,0,4,0,0,0,0,1,0,0,1
23-2008,20,3,49,2,0,0,0,9,2,2,7
23-2009,8,0,28,1,0,0,0,5,1,1,4
23-2010,8,0,26,1,0,0,0,4,1,1,3
23-2011,17,2,39,1,0,0,0,8,0,1,8
23-2012,8,0,18,0,0,0,0,4,4,0,0
23-2013,2,0,5,0,0,0,0,1,0,0,1
23-2014,2,0,1,0,0,0,0,1,0,0,1
24-2007,16,5,42,4,1,3,4,3,2,4,1
24-2008,17,7,35,4,3,3,0,2,1,7,1
24-2009,16,7,31,4,0,1,3,5,4,6,1
24-2010,13,3,34,3,0,3,1,6,7,5,0
24-2011,13,3,36,2,1,1,4,3,2,2,1
24-2012,20,6,40,7,0,1,9,2,2,14,0
24-2013,27,11,59,8,0,2,10,4,4,16,0
24-2014,19,4,50,8,0,3,5,7,2,16,5
25-2007,0,0,0,0,0,0,0,0,0,0,0
25-2008,6,2,10,1,0,0,0,4,4,1,0
25-2009,8,4,10,0,0,0,0,3,3,0,0
25-2010,4,1,7,0,0,1,0,1,1,0,0
25-2011,7,2,10,2,0,1,0,2,2,5,0
25-2012,17,6,17,2,0,0,0,5,3,4,2
25-2013,16,6,20,3,0,1,0,5,6,5,0
25-2014,7,3,10,1,0,0,0,3,3,1,0
26-2007,0,0,0,0,0,0,0,0,0,0,0
26-2008,2,0,4,0,0,0,1,0,0,0,0
26-2009,0,0,0,0,0,0,0,0,0,0,0
26-2010,0,0,0,0,0,0,0,0,0,0,0
26-2011,1,0,6,1,0,0,0,1,1,3,0
26-2012,4,1,10,1,0,0,1,1,1,1,0
26-2013,6,0,9,0,0,0,0,2,1,0,1
26-2014,2,1,4,0,0,0,0,1,1,0,0
27-2007,0,0,0,0,0,0,0,0,0,0,0
27-2008,0,0,0,0,0,0,0,0,0,0,0
27-2009,0,0,0,0,0,0,0,0,0,0,0
27-2010,0,0,0,0,0,0,0,0,0,0,0
27-2011,1,0,4,0,0,1,0,0,1,0,0
27-2012,3,1,5,0,0,0,0,1,0,0,1
27-2013,0,0,0,0,0,0,0,0,0,0,0
27-2014,1,0,4,1,0,0,0,1,1,3,0
28-2007,3,1,12,2,0,0,0,2,2,3,0
28-2008,9,4,22,1,0,0,0,4,3,1,1
28-2009,6,1,24,3,0,0,0,4,3,4,1
28-2010,1,0,6,1,0,0,0,1,0,1,1
28-2011,6,1,25,2,0,0,0,4,3,3,1
28-2012,3,1,9,0,0,0,0,2,1,0,1
28-2013,3,1,11,1,0,0,0,2,0,2,2
28-2014,2,0,4,0,0,0,0,1,0,0,1
29-2007,4,2,10,0,0,0,0,2,1,0,1
29-2008,10,2,10,2,0,0,0,4,4,2,0
29-2009,0,0,0,0,0,0,0,0,0,0,0
29-2010,3,0,5,0,0,0,1,1,1,0,0
29-2011,5,1,12,1,0,0,0,3,1,3,2
29-2012,3,2,5,1,0,0,0,1,1,3,0
29-2013,0,0,0,0,0,0,0,0,0,0,0
29-2014,9,4,9,2,0,0,1,2,2,2,0
31-2007,0,0,0,0,0,0,0,0,0,0,0
31-2008,5,1,20,0,0,0,0,2,1,0,1
31-2009,3,0,7,0,0,0,0,2,0,0,2
31-2010,3,1,6,0,0,0,0,1,1,0,0
31-2011,5,1,9,2,0,0,0,2,0,2,2
31-2012,11,1,20,0,0,0,0,4,2,0,2
31-2013,9,2,14,0,0,0,0,3,0,0,3
31-2014,0,0,0,0,0,0,0,0,0,0,0
32-2007,0,0,0,0,0,0,0,0,0,0,0
32-2008,2,0,5,1,0,0,0,2,2,1,0
32-2009,0,0,0,0,0,0,0,0,0,0,0
32-2010,5,3,12,1,0,0,0,2,2,1,0
32-2011,0,0,0,0,0,0,0,0,0,0,0
32-2012,0,0,0,0,0,0,0,0,0,0,0
32-2013,0,0,0,0,0,0,0,0,0,0,0
32-2014,0,0,0,0,0,0,0,0,0,0,0
33-2007,12,2,16,4,0,3,2,2,5,8,0
33-2008,10,2,13,4,0,0,2,3,3,15,0
33-2009,14,4,17,5,0,3,2,1,3,16,0
33-2010,25,4,46,4,0,3,8,1,2,7,0
33-2011,13,3,21,1,0,3,2,1,2,3,0
33-2012,2,0,3,1,0,0,0,1,0,2,1
33-2013,0,0,0,0,0,0,0,0,0,0,0
33-2014,0,0,0,0,0,0,0,0,0,0,0
34-2007,1,0,4,0,0,0,0,1,1,0,0
34-2008,3,0,12,1,0,0,0,2,2,1,0
34-2009,7,0,30,4,0,0,0,5,4,4,1
34-2010,4,0,14,1,0,0,0,2,2,1,0
34-2011,1,0,8,1,0,0,0,1,1,1,0
34-2012,8,0,22,3,0,0,0,4,3,6,1
34-2013,7,0,30,5,0,0,0,5,4,5,1
34-2014,7,0,30,2,0,0,0,4,2,9,2
35-2007,3,2,4,0,0,0,0,1,1,0,0
35-2008,2,1,4,0,0,0,0,1,0,0,1
35-2009,0,0,0,0,0,0,0,0,0,0,0
35-2010,8,2,11,1,0,0,0,3,3,2,0
35-2011,2,0,4,0,0,0,0,1,1,0,0
35-2012,1,0,5,0,0,0,0,1,1,0,0
35-2013,6,1,13,1,0,0,0,2,1,2,1
35-2014,2,1,4,0,0,0,0,1,1,0,0
36-2007,0,0,0,0,0,0,0,0,0,0,0
36-2008,0,0,0,0,0,0,0,0,0,0,0
36-2009,0,0,0,0,0,0,0,0,0,0,0
36-2010,0,0,0,0,0,0,0,0,0,0,0
36-2011,0,0,0,0,0,0,0,0,0,0,0
36-2012,0,0,0,0,0,0,0,0,0,0,0
36-2013,2,1,7,0,0,0,1,0,0,0,0
36-2014,0,0,0,0,0,0,0,0,0,0,0
37-2007,49,20,79,9,0,0,1,11,10,13,1
37-2008,13,4,23,4,0,0,0,4,4,12,0
37-2009,15,5,26,5,0,0,0,5,5,13,0
37-2010,27,8,45,5,0,0,1,6,6,8,0
37-2011,28,10,44,4,0,0,0,7,7,14,0
37-2012,5,2,8,1,1,0,0,1,1,4,0
37-2013,35,30,39,3,0,0,0,3,3,8,0
37-2014,6,1,10,2,0,0,0,2,2,4,0
38-2007,7,0,13,1,0,1,1,3,0,3,3
38-2008,4,1,7,0,0,1,0,1,1,0,0
38-2009,9,4,19,2,0,2,2,2,2,1,0
38-2010,0,0,0,0,0,0,0,0,0,0,0
38-2011,3,0,12,0,0,2,0,1,1,0,0
38-2012,0,0,0,0,0,0,0,0,0,0,0
38-2013,1,0,2,0,0,0,0,1,1,0,0
38-2014,7,0,19,0,0,0,6,1,1,0,0
39-2007,2,0,9,1,0,1,1,0,1,1,0
39-2008,0,0,0,0,0,0,0,0,0,0,0
39-2009,3,0,7,0,0,1,1,0,1,0,0
39-2010,7,3,11,1,0,1,0,2,1,1,1
39-2011,4,1,4,1,0,1,0,1,1,1,0
39-2012,4,2,6,0,0,0,1,1,1,0,0
39-2013,3,1,5,0,0,1,0,1,2,0,0
39-2014,16,6,27,0,0,3,0,4,2,0,2
40-2007,1,0,3,0,0,0,0,1,1,0,0
40-2008,2,0,6,0,0,0,1,1,1,0,0
40-2009,1,0,4,0,0,0,0,1,0,0,1
40-2010,1,0,5,0,0,0,0,1,1,0,0
40-2011,0,0,0,0,0,0,0,0,0,0,0
40-2012,0,0,0,0,0,0,0,0,0,0,0
40-2013,0,0,0,0,0,0,0,0,0,0,0
40-2014,0,0,0,0,0,0,0,0,0,0,0
41-2007,8,2,19,3,0,0,0,5,4,3,1
41-2008,2,1,5,1,0,0,0,1,0,1,1
41-2009,4,1,9,0,0,0,0,3,3,0,0
41-2010,0,0,0,0,0,0,0,0,0,0,0
41-2011,2,0,3,0,0,0,0,2,1,0,1
41-2012,1,0,1,0,0,0,0,1,1,0,0
41-2013,4,2,9,0,0,0,0,2,1,0,1
41-2014,10,2,27,2,0,0,0,6,3,2,3
42-2007,0,0,0,0,0,0,0,0,0,0,0
42-2008,4,0,6,0,0,0,0,1,0,0,1
42-2009,0,0,0,0,0,0,0,0,0,0,0
42-2010,0,0,0,0,0,0,0,0,0,0,0
42-2011,0,0,0,0,0,0,0,0,0,0,0
42-2012,0,0,0,0,0,0,0,0,0,0,0
42-2013,0,0,0,0,0,0,0,0,0,0,0
42-2014,4,1,10,0,0,0,0,2,1,0,1
44-2007,2,1,5,0,0,0,1,0,0,0,0
44-2008,16,2,28,1,0,0,4,2,2,1,0
44-2009,9,0,21,1,0,0,4,1,1,1,0
44-2010,12,0,20,2,0,0,1,3,3,3,0
44-2011,2,0,4,0,0,0,1,0,0,0,0
44-2012,3,0,5,0,0,0,0,1,0,0,1
44-2013,0,0,0,0,0,0,0,0,0,0,0
44-2014,6,1,11,2,0,0,0,3,0,3,3
45-2007,11,4,20,4,0,2,2,2,4,8,0
45-2008,9,1,18,1,0,0,4,2,1,3,1
45-2009,4,1,5,1,0,2,0,0,2,2,0
45-2010,19,3,33,4,0,8,1,2,8,4,0
45-2011,11,2,18,1,0,3,1,2,5,1,0
45-2012,4,1,6,1,0,0,0,2,2,2,0
45-2013,5,1,8,2,0,0,2,1,1,3,0
45-2014,37,29,55,4,0,0,0,5,5,4,0
46-2007,9,0,19,5,0,0,1,4,1,4,3
46-2008,11,5,22,1,0,0,0,4,4,2,0
46-2009,4,0,7,0,0,1,0,1,1,0,0
46-2010,2,0,3,1,0,0,0,1,1,1,0
46-2011,8,3,17,2,0,0,2,2,2,2,0
46-2012,9,5,12,2,0,0,1,3,2,2,1
46-2013,6,1,12,1,0,0,0,3,2,1,1
46-2014,7,2,17,3,0,0,2,3,0,4,3
47-2007,8,1,15,0,0,0,0,4,3,0,1
47-2008,2,0,3,0,0,0,0,1,1,0,0
47-2009,3,0,5,0,0,0,1,0,0,0,0
47-2010,8,4,19,0,0,0,0,3,2,0,1
47-2011,0,0,0,0,0,0,0,0,0,0,0
47-2012,0,0,0,0,0,0,0,0,0,0,0
47-2013,0,0,0,0,0,0,0,0,0,0,0
47-2014,4,2,9,2,0,0,0,2,1,2,1
48-2007,1,0,4,0,0,0,0,1,0,0,1
48-2008,2,0,5,0,0,0,0,2,0,0,2
48-2009,2,0,4,0,0,0,1,0,0,0,0
48-2010,1,0,3,0,0,0,0,1,0,0,1
48-2011,0,0,0,0,0,0,0,0,0,0,0
48-2012,9,2,13,1,0,0,0,2,2,1,0
48-2013,4,0,7,0,0,0,0,2,1,0,1
48-2014,7,2,14,0,0,0,1,1,0,0,1
50-2007,28,18,48,4,0,0,8,2,1,4,1
50-2008,26,16,42,7,0,0,3,7,6,25,1
50-2009,37,23,71,2,0,0,11,3,3,2,0
50-2010,37,20,73,6,0,0,8,6,4,15,2
50-2011,30,16,66,7,0,0,5,7,7,17,0
50-2012,47,24,95,4,0,0,11,6,6,7,0
50-2013,47,25,99,9,0,0,7,8,7,15,1
50-2014,27,12,58,4,0,0,3,7,5,6,2
52-2007,10,3,36,0,0,0,6,1,1,0,0
52-2008,8,2,32,1,0,0,2,3,3,1,0
52-2009,3,1,12,0,0,0,2,0,0,0,0
52-2010,6,0,30,1,0,0,3,2,0,1,2
52-2011,5,0,20,0,0,0,1,2,0,0,2
52-2012,2,0,10,1,0,0,1,0,0,1,0
52-2013,0,0,0,0,0,0,0,0,0,0,0
52-2014,2,0,16,1,0,0,1,1,0,3,1
53-2007,1,0,3,1,0,0,0,1,1,1,0
53-2008,1,0,4,0,0,0,0,1,0,0,1
53-2009,5,2,7,0,0,0,0,2,2,0,0
53-2010,3,0,5,0,0,1,0,0,0,0,0
53-2011,2,1,5,1,0,0,0,1,1,2,0
53-2012,10,2,12,0,0,0,0,3,3,0,0
53-2013,4,2,10,0,0,1,0,1,1,0,0
53-2014,2,0,4,0,0,0,0,1,1,0,0
54-2007,6,0,26,1,0,0,1,2,0,1,2
54-2008,8,0,41,1,0,0,0,4,1,2,3
54-2009,8,0,24,0,0,0,0,3,1,0,2
54-2010,9,0,42,3,0,2,0,4,3,3,1
54-2011,6,3,21,0,0,0,1,2,1,0,1
54-2012,5,0,32,2,0,0,1,3,2,3,1
54-2013,3,0,23,0,0,0,3,0,0,0,0
54-2014,9,1,41,1,0,0,0,5,3,2,2
55-2007,2,0,4,0,0,0,0,1,1,0,0
55-2008,14,1,24,1,0,0,0,5,5,2,0
55-2009,11,1,21,1,0,2,1,1,1,1,0
55-2010,9,0,19,1,0,0,2,1,1,4,0
55-2011,5,1,12,1,0,0,1,1,1,1,0
55-2012,1,0,4,1,0,0,0,1,0,2,1
55-2013,0,0,0,0,0,0,0,0,0,0,0
55-2014,0,0,0,0,0,0,0,0,0,0,0
56-2007,5,0,18,2,0,0,0,2,2,3,0
56-2008,5,1,15,0,0,0,0,2,2,0,0
56-2009,3,2,5,0,0,0,0,1,1,0,0
56-2010,4,1,7,1,0,0,0,1,1,1,0
56-2011,6,2,12,1,0,0,0,2,2,4,0
56-2012,0,0,0,0,0,0,0,0,0,0,0
56-2013,13,2,30,2,0,0,0,4,4,6,0
56-2014,13,5,27,3,0,0,0,4,3,6,1
57-2007,3,0,4,1,0,0,0,1,1,1,0
57-2008,0,0,0,0,0,0,0,0,0,0,0
57-2009,0,0,0,0,0,0,0,0,0,0,0
57-2010,3,0,4,0,0,0,0,1,1,0,0
57-2011,4,0,4,1,0,0,0,1,1,1,0
57-2012,0,0,0,0,0,0,0,0,0,0,0
57-2013,0,0,0,0,0,0,0,0,0,0,0
57-2014,3,0,4,0,0,0,0,1,0,0,1
58-2007,5,1,15,0,0,0,1,3,2,0,1
58-2008,19,1,51,5,0,0,0,10,8,5,2
58-2009,34,3,84,1,0,0,0,16,7,1,9
58-2010,26,1,57,3,0,2,0,8,6,3,2
58-2011,13,1,28,3,0,0,0,5,4,4,1
58-2012,18,4,40,2,1,0,0,7,4,2,3
58-2013,6,0,11,1,0,0,0,3,3,2,0
58-2014,3,0,6,1,0,0,0,2,1,1,1
60-2007,0,0,0,0,0,0,0,0,0,0,0
60-2008,0,0,0,0,0,0,0,0,0,0,0
60-2009,0,0,0,0,0,0,0,0,0,0,0
60-2010,0,0,0,0,0,0,0,0,0,0,0
60-2011,0,0,0,0,0,0,0,0,0,0,0
60-2012,2,0,5,1,0,0,0,1,1,1,0
60-2013,0,0,0,0,0,0,0,0,0,0,0
60-2014,0,0,0,0,0,0,0,0,0,0,0
61-2007,4,0,9,2,0,0,0,2,2,3,0
61-2008,0,0,0,0,0,0,0,0,0,0,0
61-2009,4,0,8,0,0,0,0,2,2,0,0
61-2010,7,0,9,1,1,0,0,2,1,1,1
61-2011,12,1,23,2,0,0,0,5,3,3,2
61-2012,3,1,7,1,0,0,0,1,0,1,1
61-2013,6,2,10,2,0,0,0,2,2,3,0
61-2014,9,3,18,2,0,0,0,3,3,2,0
62-2007,2,1,8,1,0,0,0,1,1,1,0
62-2008,9,2,18,1,0,0,0,2,1,1,1
62-2009,13,2,33,3,0,0,0,5,3,5,2
62-2010,2,0,4,1,0,0,0,1,1,1,0
62-2011,2,0,5,0,0,0,0,1,0,0,1
62-2012,0,0,0,0,0,0,0,0,0,0,0
62-2013,4,0,8,0,0,0,0,1,1,0,0
62-2014,4,0,9,0,0,0,0,1,1,0,0
63-2007,0,0,0,0,0,0,0,0,0,0,0
63-2008,1,0,1,1,0,0,0,1,1,2,0
63-2009,0,0,0,0,0,0,0,0,0,0,0
63-2010,13,6,18,2,0,1,1,2,2,4,0
63-2011,2,0,6,0,1,0,1,0,0,0,0
63-2012,3,0,10,2,0,0,1,2,2,2,0
63-2013,2,1,4,0,0,0,1,0,0,0,0
63-2014,1,0,3,1,0,0,0,1,1,2,0
64-2007,2,0,6,1,0,0,0,1,1,1,0
64-2008,1,0,3,0,0,0,0,1,1,0,0
64-2009,1,0,3,0,0,0,0,1,0,0,1
64-2010,0,0,0,0,0,0,0,0,0,0,0
64-2011,1,0,7,0,0,0,1,0,0,0,0
64-2012,4,0,16,0,0,0,1,3,3,0,0
64-2013,2,0,8,0,0,0,0,1,1,0,0
64-2014,0,0,0,0,0,0,0,0,0,0,0
65-2007,0,0,0,0,0,0,0,0,0,0,0
65-2008,3,0,5,0,0,0,0,1,1,0,0
65-2009,0,0,0,0,0,0,0,0,0,0,0
65-2010,0,0,0,0,0,0,0,0,0,0,0
65-2011,0,0,0,0,0,0,0,0,0,0,0
65-2012,0,0,0,0,0,0,0,0,0,0,0
65-2013,0,0,0,0,0,0,0,0,0,0,0
65-2014,0,0,0,0,0,0,0,0,0,0,0
66-2007,8,1,20,2,0,0,0,4,3,1,1
66-2008,4,1,11,0,0,0,1,1,1,0,0
66-2009,7,1,17,0,0,0,2,1,0,0,1
66-2010,13,2,36,1,0,0,6,1,1,1,0
66-2011,2,1,5,1,0,0,0,1,1,1,0
66-2012,9,0,20,3,0,0,4,1,1,6,0
66-2013,12,0,22,3,0,0,3,3,2,3,1
66-2014,4,0,18,1,0,2,0,2,0,1,2
67-2007,10,2,17,2,0,0,4,2,2,4,0
67-2008,22,10,29,2,0,0,6,4,4,3,0
67-2009,5,0,8,0,0,0,0,3,3,0,0
67-2010,9,2,14,2,0,0,0,5,5,1,0
67-2011,8,1,13,2,0,0,0,5,5,4,0
67-2012,11,2,18,2,0,0,0,6,6,3,0
67-2013,3,1,6,0,0,0,0,2,2,0,0
67-2014,6,1,9,1,0,0,0,4,4,1,0
68-2007,9,4,14,1,0,0,4,1,1,1,0
68-2008,7,3,11,0,0,0,2,2,2,0,0
68-2009,18,5,30,3,0,0,6,4,4,5,0
68-2010,16,1,26,3,0,0,4,4,4,2,0
68-2011,13,1,21,1,0,0,3,4,1,1,3
68-2012,0,0,0,0,0,0,0,0,0,0,0
68-2013,0,0,0,0,0,0,0,0,0,0,0
68-2014,0,0,0,0,0,0,0,0,0,0,0
69-2007,3,0,4,1,0,0,0,1,1,2,0
69-2008,0,0,0,0,0,0,0,0,0,0,0
69-2009,3,0,4,0,0,0,0,1,1,0,0
69-2010,3,0,11,1,0,0,1,1,1,1,0
69-2011,5,0,15,1,0,0,2,1,1,6,0
69-2012,0,0,0,0,0,0,0,0,0,0,0
69-2013,26,3,50,6,0,0,1,9,9,8,0
69-2014,7,0,12,2,0,0,0,3,3,7,0
70-2007,4,0,8,0,0,0,2,0,0,0,0
70-2008,4,0,8,0,0,0,2,0,0,0,0
70-2009,8,0,20,2,0,0,4,2,1,3,1
70-2010,11,1,19,2,0,0,2,4,0,3,4
70-2011,3,0,7,0,0,0,2,0,0,0,0
70-2012,6,0,19,1,0,0,1,3,2,1,1
70-2013,5,1,11,2,0,0,0,3,1,2,2
70-2014,0,0,0,0,0,0,0,0,0,0,0
71-2007,11,0,28,2,0,0,0,6,3,3,3
71-2008,0,0,0,0,0,0,0,0,0,0,0
71-2009,0,0,0,0,0,0,0,0,0,0,0
71-2010,15,0,36,1,0,0,0,6,6,2,0
