date,pre,hum,tem,occ
25/05/2020 23:49,94246.58,50.77,31.86,H
04/06/2020 18:43,94397.82,48.1,31.48,M
01/06/2020 11:55,95212.13,58.81,29.21,M
14/05/2020 23:27,94354.78,59.06,31.01,H
29/05/2020 00:29,95168.84,47.78,31.82,M
14/05/2020 23:25,94358.58,59.15,31.03,H
15/05/2020 00:31,94343.59,60.54,30.36,M
24/05/2020 12:12,94251.2,53.6,31.64,M
24/05/2020 12:32,94258.51,53.14,31.43,M
31/05/2020 19:18,94838.53,48.01,30.9,H
29/05/2020 00:39,95145.94,48.05,31.62,M
04/06/2020 11:34,94689.71,60.39,30.67,M
25/05/2020 17:01,93881.54,48.72,32.32,M
26/05/2020 00:20,94345.16,55.51,31.37,M
04/06/2020 20:04,94445.11,53.83,31.6,M
24/05/2020 12:19,94250.76,53.17,31.49,M
14/05/2020 23:17,94349.1,57.72,31.13,M
01/06/2020 11:50,95214.11,59.18,29.16,M
04/06/2020 19:39,94419.18,53.33,31.56,M
31/05/2020 19:08,94831.17,48.43,30.81,H
04/06/2020 23:06,94593.17,56.32,31.92,M
14/05/2020 23:00,94331.95,56.4,30.92,M
24/05/2020 12:13,94250.82,53.49,31.6,M
24/05/2020 12:43,94248.01,54.55,31.64,M
14/05/2020 23:51,94374.11,58.18,30.92,H
25/05/2020 16:19,93911.95,50.24,32.2,M
25/05/2020 19:35,93770.91,44.84,32.58,M
04/06/2020 19:23,94402.45,52.38,31.45,M
04/06/2020 18:29,94397.17,51.88,31.48,M
31/05/2020 19:19,94840.5,48.07,30.88,H
01/06/2020 12:18,95206.21,59.49,29.23,M
25/05/2020 16:37,93897.29,49.32,32.12,M
14/05/2020 23:59,94372.73,58.91,30.97,H
04/06/2020 19:52,94433.3,53.71,31.57,M
04/06/2020 18:31,94392.35,50.95,31.49,M
29/05/2020 00:59,95239.32,46.06,31.53,M
25/05/2020 23:20,94135,50.3,32.53,M
31/05/2020 19:44,94953.54,54.93,29.93,M
25/05/2020 23:38,94194.96,50.88,32.44,M
26/05/2020 00:27,94325.52,54.63,31.67,M
04/06/2020 18:27,94396.19,51.77,31.49,M
25/05/2020 15:50,93948.99,53.34,32.03,M
26/05/2020 00:13,94343.83,54.55,31.3,M
01/06/2020 12:16,95209.31,59.07,29.22,M
24/05/2020 11:57,94256.22,53.89,31.66,H
25/05/2020 16:58,93884.56,49.46,32.23,M
04/06/2020 18:15,94393.59,54.56,31.47,M
29/05/2020 00:14,95109.76,44.2,31.85,M
24/05/2020 12:46,94241.12,54.05,31.68,M
25/05/2020 23:45,94224.49,51.37,32.28,H
04/06/2020 20:53,94492.25,47.8,31.34,M
04/06/2020 18:11,94391.17,55.34,31.46,M
04/06/2020 18:24,94394.84,53.28,31.47,M
