CLAVE,PUB_YEAR,CITED_DOCS,CITES_3Y,AFFILIATIONS,AUTHORS,INTL_AFIL,Q1Q2,BOOK,CHAPTER,CONFERENCE,JOURNAL,DOCS,CITE_SCORE,BASE_YEAR,YEAR_N
400,2009,4,10,14,27,1,5,0,0,0,5,5,2,2007,3
400,2010,6,10,22,38,3,7,0,0,0,7,7,1.429,2007,4
400,2011,5,9,24,49,2,9,0,0,1,9,10,0.9,2007,5
401,2007,2,3,5,16,0,2,0,0,0,2,2,1.5,2007,1
401,2008,1,1,12,39,2,3,0,2,0,3,5,0.2,2007,2
401,2009,1,1,1,5,0,1,0,0,0,1,1,1,2007,3
401,2010,1,1,1,6,0,1,0,0,0,1,1,1,2007,4
401,2011,0,0,1,7,0,1,0,0,0,1,1,0,2007,5
402,2007,1,1,7,7,3,1,0,0,1,1,2,0.5,2007,1
402,2008,1,1,4,5,2,1,0,0,1,1,2,0.5,2007,2
402,2009,0,0,4,7,1,1,0,0,1,1,2,0,2007,3
402,2010,2,1,5,12,0,2,0,0,2,2,4,0.25,2007,4
402,2011,1,2,2,6,0,0,0,0,2,0,2,1,2007,5
405,2007,0,0,17,27,3,7,0,1,3,8,12,0,2007,1
405,2008,2,2,20,33,4,4,0,1,9,3,13,0.154,2007,2
405,2009,6,7,22,37,4,7,0,6,4,1,11,0.636,2007,3
405,2010,5,8,39,68,10,9,3,3,10,9,25,0.32,2007,4
405,2011,1,1,20,45,3,3,0,0,9,4,13,0.077,2007,5
408,2007,0,0,2,3,0,0,0,1,0,0,1,0,2007,1
408,2008,0,0,9,12,0,4,0,0,0,4,4,0,2007,2
408,2009,1,3,6,11,0,3,0,0,0,3,3,1,2007,3
408,2010,3,3,19,29,0,3,0,0,3,5,8,0.375,2007,4
408,2011,1,1,3,7,0,2,0,0,0,2,2,0.5,2007,5
409,2007,1,1,5,11,1,0,0,0,1,2,3,0.333,2007,1
409,2008,3,7,14,24,4,3,0,1,0,3,4,1.75,2007,2
409,2009,1,4,11,22,1,3,0,1,2,3,6,0.667,2007,3
409,2010,2,2,12,22,3,3,0,0,2,4,6,0.333,2007,4
409,2011,1,3,13,20,1,2,0,0,1,5,6,0.5,2007,5
411,2007,1,1,6,26,0,0,0,0,1,2,3,0.333,2007,1
411,2008,1,2,8,41,0,1,0,0,0,4,4,0.5,2007,2
411,2009,0,0,8,24,0,1,0,0,0,3,3,0,2007,3
411,2010,3,3,15,58,0,4,0,3,0,5,8,0.375,2007,4
411,2011,0,0,1,6,0,0,0,0,0,1,1,0,2007,5
413,2007,0,0,4,8,1,2,0,0,0,2,2,0,2007,1
413,2008,2,3,12,37,0,0,0,0,7,2,9,0.333,2007,2
413,2009,0,0,10,24,1,1,0,0,5,1,6,0,2007,3
413,2010,0,0,13,25,1,0,0,0,4,2,6,0,2007,4
413,2011,0,0,4,8,0,0,0,0,3,0,3,0,2007,5
419,2007,2,4,13,27,6,2,0,0,4,2,6,0.667,2007,1
419,2008,1,1,8,18,1,1,0,0,3,1,4,0.25,2007,2
419,2009,1,4,4,7,2,2,0,0,0,2,2,2,2007,3
419,2010,0,0,11,21,4,0,1,0,6,0,7,0,2007,4
419,2011,3,3,7,12,0,1,0,0,2,1,3,1,2007,5
429,2007,3,5,9,27,5,3,0,0,0,4,4,1.25,2007,1
429,2008,1,1,6,21,2,1,0,0,0,4,4,0.25,2007,2
429,2009,1,2,13,39,6,4,0,0,0,6,6,0.333,2007,3
429,2010,1,1,11,45,4,3,0,0,0,6,6,0.167,2007,4
429,2011,0,0,5,16,2,2,0,0,0,2,2,0,2007,5
430,2007,1,3,2,3,0,1,0,0,0,1,1,3,2007,1
430,2008,2,7,6,11,2,2,0,0,0,2,2,3.5,2007,2
430,2009,2,8,5,8,1,0,0,0,0,2,2,4,2007,3
430,2010,3,8,8,13,1,1,0,0,0,3,3,2.667,2007,4
430,2011,0,0,4,5,1,1,0,0,0,1,1,0,2007,5
435,2007,0,0,1,3,0,0,0,0,1,0,1,0,2007,1
435,2008,2,3,3,7,0,0,0,0,2,0,2,1.5,2007,2
435,2009,2,5,10,30,0,0,0,0,4,2,6,0.833,2007,3
435,2010,1,2,18,46,1,0,0,0,8,0,8,0.25,2007,4
435,2011,3,3,22,49,1,1,0,1,5,2,8,0.375,2007,5
438,2007,1,1,3,3,2,1,0,0,0,1,1,1,2007,1
438,2008,1,1,3,4,2,1,0,0,0,1,1,1,2007,2
438,2009,0,0,3,4,2,1,0,0,0,1,1,0,2007,3
438,2010,0,0,2,4,0,2,0,0,0,2,2,0,2007,4
438,2011,0,0,4,8,2,1,0,0,0,2,2,0,2007,5
442,2007,0,0,4,11,0,2,0,0,0,2,2,0,2007,1
442,2008,0,0,4,16,0,0,0,0,0,3,3,0,2007,2
442,2009,1,1,2,4,0,1,0,0,0,1,1,1,2007,3
442,2010,1,1,1,6,0,1,0,0,0,1,1,1,2007,4
442,2011,1,1,15,34,2,3,0,0,0,4,4,0.25,2007,5
443,2007,1,4,8,14,1,2,0,1,2,2,5,0.8,2007,1
443,2008,2,2,7,8,1,1,0,0,1,2,3,0.667,2007,2
443,2009,1,3,9,13,5,1,0,0,2,2,4,0.75,2007,3
443,2010,1,1,3,5,0,1,0,0,1,1,2,0.5,2007,4
443,2011,1,1,3,5,1,1,0,0,0,2,2,0.5,2007,5
444,2007,2,8,25,40,7,3,0,1,8,7,16,0.5,2007,1
444,2008,4,6,16,27,2,3,0,1,7,4,12,0.5,2007,2
444,2009,4,7,10,14,1,1,0,1,3,2,6,1.167,2007,3
444,2010,2,3,13,21,4,0,0,0,3,4,7,0.429,2007,4
444,2011,1,1,11,16,2,1,0,1,3,2,6,0.167,2007,5
445,2007,0,0,7,7,2,2,0,0,1,2,3,0,2007,1
